zip_prefixes|meanhouseholdincome
0|0
0|0
0|0
0|0
0|0
0|12013.3426966292
0|15079.2647903504
0|15626.5742629987
0|15759.7456455626
0|15795.29434641
0|16116.4383561644
0|16295.1518380394
0|16636.4857603439
0|16653.3291596082
0|16665.8940623083
0|16687.4154872442
0|16769.9836867863
0|16962.9184390605
0|17075.8191516383
0|17110.989010989
0|17243.7482438887
0|17294.8560930802
0|17307.2178696449
0|17320.3974503187
0|17477.2937370002
0|17496.5260545906
0|17500
0|17708.5974321469
0|17906.2094968776
0|17908.2751744766
0|17980.0882021354
0|18032.0940475419
0|18259.8113375456
0|18509.6901737101
0|18521.6210097351
0|18533.8437638704
0|18575.7337010045
0|18577.6328348711
0|18656.7096285065
0|18673.9531720587
0|18803.3289226269
0|18932.8039617486
0|18934.8724798067
0|19009.9856153615
0|19109.2517791883
0|19110.3375292414
0|19142.640674912
0|19158.9998091239
0|19188.8419273035
0|19277.5902363023
0|19334.3558282209
0|19416.4101733355
0|19429.8861709857
0|19448.7626498852
0|19499.4285931964
0|19545.9579469766
0|19621.5270487788
0|19674.4345307975
0|19842.4276725372
0|19922.9655289909
0|19957.5657894737
0|20005.675121142
0|20040.9842931937
0|20073.8981261547
0|20201.6301663099
0|20415.1193633952
0|20478.2549308856
0|20502.2270297786
0|20541.5576694412
0|20650.4303492133
0|20752.2765798084
0|20797.0806841587
0|20838.5416666667
0|20931.7340031504
0|21018.2731922148
0|21145.3504351809
0|21260.2777021508
0|21453.4375386646
0|21591.5322004855
0|21601.5027322404
0|21607.3396125822
0|21633.5465204812
0|21774.500275375
0|21785.7142857143
0|21804.0163934426
0|22021.2875096179
0|22432.1409784324
0|22530.2930243967
0|22683.8712827775
0|22740.8357948768
0|22800.7896625987
0|22943.9989307672
0|22992.4242424242
0|23067.118413083
0|23200.9554140127
0|23229.7169811321
0|23242.6280393171
0|23456.9015138433
0|23621.9549099713
0|24081.3193429087
0|24446.4285714286
0|24476.0135936142
0|24618.3129689576
0|24638.3185649449
0|24830.4552590267
0|24849.6471248697
0|24944.654862229
0|24983.2261029412
0|25322.7171136654
0|25347.0894145278
0|25388.8045364403
0|25500.2764976958
0|25584.6450846451
0|25638.8888888889
0|25698.0484410378
0|25973.6203759854
0|26015.1515151515
0|26042.1077959577
0|26075.3823743627
0|26380.4874936192
0|26424.4551384028
0|26445.4215378277
0|26586.2068965517
0|27004.5180154688
0|27246.4452802495
0|27372.3763118441
0|27510.447761194
0|27562.5704622322
0|27882.4613764045
0|27942.4860853432
0|28059.4446677592
0|28146.9458317326
0|28363.3305187609
0|28489.3203883495
0|29000
0|29150
0|29187.074829932
0|29261.1940298507
0|29362.26094615
